000000,s1_camera_offhand_1
M000000,s1_camera_offhand_1_m
000001,s1_stapler_pick_all
M000001,s1_stapler_pick_all_m
000002,s1_apple_offhand_1
M000002,s1_apple_offhand_1_m
000003,s1_piggybank_pick_all
M000003,s1_piggybank_pick_all_m
000004,s1_binoculars_pick_all
M000004,s1_binoculars_pick_all_m
000005,s1_mouse_offhand_1
M000005,s1_mouse_offhand_1_m
000006,s1_stapler_staple_2
M000006,s1_stapler_staple_2_m
000007,s1_wineglass_drink_2
M000007,s1_wineglass_drink_2_m
000008,s1_pyramidlarge_inspect_1
M000008,s1_pyramidlarge_inspect_1_m
000009,s1_bowl_pass_1
M000009,s1_bowl_pass_1_m
000010,s1_stamp_stamp_1
M000010,s1_stamp_stamp_1_m
000011,s1_cylindermedium_offhand_1
M000011,s1_cylindermedium_offhand_1_m
000012,s1_pyramidmedium_pick_all
M000012,s1_pyramidmedium_pick_all_m
000013,s1_phone_offhand_1
M000013,s1_phone_offhand_1_m
000014,s1_waterbottle_pick_all
M000014,s1_waterbottle_pick_all_m
000015,s1_watch_pick_all
M000015,s1_watch_pick_all_m
000016,s1_hand_offhand_1
M000016,s1_hand_offhand_1_m
000017,s1_cup_drink_2
M000017,s1_cup_drink_2_m
000018,s1_train_offhand_1
M000018,s1_train_offhand_1_m
000019,s1_elephant_offhand_1
M000019,s1_elephant_offhand_1_m
000020,s1_toothpaste_squeeze_1
M000020,s1_toothpaste_squeeze_1_m
000021,s1_torusmedium_pick_all
M000021,s1_torusmedium_pick_all_m
000022,s1_binoculars_offhand_1
M000022,s1_binoculars_offhand_1_m
000023,s1_binoculars_see_1
M000023,s1_binoculars_see_1_m
000024,s1_mug_drink_4
M000024,s1_mug_drink_4_m
000025,s1_cylinderlarge_inspect_1
M000025,s1_cylinderlarge_inspect_1_m
000026,s1_cylindersmall_inspect_1
M000026,s1_cylindersmall_inspect_1_m
000027,s1_hand_inspect_1
M000027,s1_hand_inspect_1_m
000028,s1_flute_offhand_1
M000028,s1_flute_offhand_1_m
000029,s1_eyeglasses_offhand_1
M000029,s1_eyeglasses_offhand_1_m
000030,s1_cubemedium_offhand_1
M000030,s1_cubemedium_offhand_1_m
000031,s1_doorknob_use_fun_1
M000031,s1_doorknob_use_fun_1_m
000032,s1_spheresmall_inspect_1
M000032,s1_spheresmall_inspect_1_m
000033,s1_pyramidmedium_pass_1
M000033,s1_pyramidmedium_pass_1_m
000034,s1_duck_pass_1
M000034,s1_duck_pass_1_m
000035,s1_toothpaste_pass_1
M000035,s1_toothpaste_pass_1_m
000036,s1_piggybank_offhand_1
M000036,s1_piggybank_offhand_1_m
000037,s1_airplane_offhand_1
M000037,s1_airplane_offhand_1_m
000038,s1_toothpaste_pick_all
M000038,s1_toothpaste_pick_all_m
000039,s1_cylindersmall_pass_1
M000039,s1_cylindersmall_pass_1_m
000040,s1_pyramidlarge_offhand_1
M000040,s1_pyramidlarge_offhand_1_m
000041,s1_pyramidsmall_pass_1
M000041,s1_pyramidsmall_pass_1_m
000042,s1_eyeglasses_pass_1
M000042,s1_eyeglasses_pass_1_m
000043,s1_watch_pass_1
M000043,s1_watch_pass_1_m
000044,s1_mug_pick_all
M000044,s1_mug_pick_all_m
000045,s1_mouse_pass_1
M000045,s1_mouse_pass_1_m
000046,s1_stanfordbunny_pass_1
M000046,s1_stanfordbunny_pass_1_m
000047,s1_stapler_staple_1
M000047,s1_stapler_staple_1_m
000048,s1_mug_pass_1
M000048,s1_mug_pass_1_m
000049,s1_torussmall_pass_1
M000049,s1_torussmall_pass_1_m
000050,s1_phone_call_1
M000050,s1_phone_call_1_m
000051,s1_wineglass_toast_1
M000051,s1_wineglass_toast_1_m
000052,s1_hammer_use_2
M000052,s1_hammer_use_2_m
000053,s1_spheremedium_offhand_1
M000053,s1_spheremedium_offhand_1_m
000054,s1_spherelarge_pick_all
M000054,s1_spherelarge_pick_all_m
000055,s1_alarmclock_pick_all
M000055,s1_alarmclock_pick_all_m
000056,s1_cylindermedium_pick_all
M000056,s1_cylindermedium_pick_all_m
000057,s1_eyeglasses_pick_all
M000057,s1_eyeglasses_pick_all_m
000058,s1_cubemedium_pick_all
M000058,s1_cubemedium_pick_all_m
000059,s1_apple_pass_1
M000059,s1_apple_pass_1_m
000060,s1_wineglass_pick_all
M000060,s1_wineglass_pick_all_m
000061,s1_flashlight_pick_all
M000061,s1_flashlight_pick_all_m
000062,s1_toothbrush_pick_all
M000062,s1_toothbrush_pick_all_m
000063,s1_eyeglasses_clean_1
M000063,s1_eyeglasses_clean_1_m
000064,s1_doorknob_use_1
M000064,s1_doorknob_use_1_m
000065,s1_camera_takepicture_3_Retake
M000065,s1_camera_takepicture_3_Retake_m
000066,s1_waterbottle_pass_1
M000066,s1_waterbottle_pass_1_m
000067,s1_flashlight_pass_1
M000067,s1_flashlight_pass_1_m
000068,s1_torussmall_inspect_1
M000068,s1_torussmall_inspect_1_m
000069,s1_airplane_pick_all
M000069,s1_airplane_pick_all_m
000070,s1_mug_toast_1
M000070,s1_mug_toast_1_m
000071,s1_watch_offhand_1
M000071,s1_watch_offhand_1_m
000072,s1_apple_eat_1
M000072,s1_apple_eat_1_m
000073,s1_banana_peel_2
M000073,s1_banana_peel_2_m
000074,s1_cubesmall_inspect_1
M000074,s1_cubesmall_inspect_1_m
000075,s1_mug_drink_1
M000075,s1_mug_drink_1_m
000076,s1_cubesmall_offhand_1
M000076,s1_cubesmall_offhand_1_m
000077,s1_scissors_offhand_1
M000077,s1_scissors_offhand_1_m
000078,s1_headphones_pass_1
M000078,s1_headphones_pass_1_m
000079,s1_eyeglasses_wear_1
M000079,s1_eyeglasses_wear_1_m
000080,s1_cup_pour_1
M000080,s1_cup_pour_1_m
000081,s1_gamecontroller_offhand_1
M000081,s1_gamecontroller_offhand_1_m
000082,s1_wineglass_pass_1
M000082,s1_wineglass_pass_1_m
000083,s1_duck_inspect_1
M000083,s1_duck_inspect_1_m
000084,s1_hammer_use_1
M000084,s1_hammer_use_1_m
000085,s1_flute_pass_1
M000085,s1_flute_pass_1_m
000086,s1_airplane_pass_1
M000086,s1_airplane_pass_1_m
000087,s1_cubesmall_pass_1
M000087,s1_cubesmall_pass_1_m
000088,s1_waterbottle_drink_1
M000088,s1_waterbottle_drink_1_m
000089,s1_banana_offhand_1
M000089,s1_banana_offhand_1_m
000090,s1_camera_browse_1
M000090,s1_camera_browse_1_m
000091,s1_scissors_use_2
M000091,s1_scissors_use_2_m
000092,s1_hammer_pass_1
M000092,s1_hammer_pass_1_m
000093,s1_binoculars_pass_1
M000093,s1_binoculars_pass_1_m
000094,s1_pyramidlarge_pick_all
M000094,s1_pyramidlarge_pick_all_m
000095,s1_bowl_drink_2
M000095,s1_bowl_drink_2_m
000096,s1_fryingpan_cook_2
M000096,s1_fryingpan_cook_2_m
000097,s1_scissors_pass_1
M000097,s1_scissors_pass_1_m
000098,s1_torusmedium_offhand_1
M000098,s1_torusmedium_offhand_1_m
000099,s1_stapler_pass_1
M000099,s1_stapler_pass_1_m
000100,s1_bowl_drink_1
M000100,s1_bowl_drink_1_m
000101,s1_teapot_pour_1
M000101,s1_teapot_pour_1_m
000102,s1_torusmedium_inspect_1
M000102,s1_torusmedium_inspect_1_m
000103,s1_camera_pick_all
M000103,s1_camera_pick_all_m
000104,s1_torusmedium_pass_1
M000104,s1_torusmedium_pass_1_m
000105,s1_cylinderlarge_offhand_1
M000105,s1_cylinderlarge_offhand_1_m
000106,s1_duck_offhand_1
M000106,s1_duck_offhand_1_m
000107,s1_cylinderlarge_pick_all
M000107,s1_cylinderlarge_pick_all_m
000108,s1_spherelarge_inspect_1
M000108,s1_spherelarge_inspect_1_m
000109,s1_cubelarge_pick_all
M000109,s1_cubelarge_pick_all_m
000110,s1_duck_pick_all
M000110,s1_duck_pick_all_m
000111,s1_flashlight_on_2
M000111,s1_flashlight_on_2_m
000112,s1_knife_pick_all
M000112,s1_knife_pick_all_m
000113,s1_flute_play_1
M000113,s1_flute_play_1_m
000114,s1_cup_pass_1
M000114,s1_cup_pass_1_m
000115,s1_piggybank_use_1
M000115,s1_piggybank_use_1_m
000116,s1_stamp_pick_all
M000116,s1_stamp_pick_all_m
000117,s1_pyramidsmall_inspect_1
M000117,s1_pyramidsmall_inspect_1_m
000118,s1_elephant_inspect_1
M000118,s1_elephant_inspect_1_m
000119,s1_camera_takepicture_2
M000119,s1_camera_takepicture_2_m
000120,s1_banana_eat_1
M000120,s1_banana_eat_1_m
000121,s1_spherelarge_offhand_1
M000121,s1_spherelarge_offhand_1_m
000122,s1_wineglass_offhand_1
M000122,s1_wineglass_offhand_1_m
000123,s1_mug_offhand_1
M000123,s1_mug_offhand_1_m
000124,s1_cubelarge_offhand_1
M000124,s1_cubelarge_offhand_1_m
000125,s1_duck_offhand_2
M000125,s1_duck_offhand_2_m
000126,s1_cylindersmall_offhand_1
M000126,s1_cylindersmall_offhand_1_m
000127,s1_watch_set_1
M000127,s1_watch_set_1_m
000128,s1_toruslarge_pass_1
M000128,s1_toruslarge_pass_1_m
000129,s1_mouse_use_1
M000129,s1_mouse_use_1_m
000130,s1_headphones_offhand_1
M000130,s1_headphones_offhand_1_m
000131,s1_watch_set_2
M000131,s1_watch_set_2_m
000132,s1_teapot_pass_1
M000132,s1_teapot_pass_1_m
000133,s1_pyramidlarge_pass_1
M000133,s1_pyramidlarge_pass_1_m
000134,s1_torussmall_pick_all
M000134,s1_torussmall_pick_all_m
000135,s1_cup_pick_all
M000135,s1_cup_pick_all_m
000136,s1_airplane_fly_1
M000136,s1_airplane_fly_1_m
000137,s1_stamp_pass_1
M000137,s1_stamp_pass_1_m
000138,s1_apple_pick_all
M000138,s1_apple_pick_all_m
000139,s1_cubemedium_inspect_1
M000139,s1_cubemedium_inspect_1_m
000140,s1_waterbottle_offhand_1
M000140,s1_waterbottle_offhand_1_m
000141,s1_mug_drink_2
M000141,s1_mug_drink_2_m
000142,s1_waterbottle_pour_1
M000142,s1_waterbottle_pour_1_m
000143,s1_cylindersmall_pick_all
M000143,s1_cylindersmall_pick_all_m
000144,s1_cylindermedium_pass_1
M000144,s1_cylindermedium_pass_1_m
000145,s1_waterbottle_open_1
M000145,s1_waterbottle_open_1_m
000146,s1_stanfordbunny_pick_all
M000146,s1_stanfordbunny_pick_all_m
000147,s1_hand_pass_1
M000147,s1_hand_pass_1_m
000148,s1_elephant_pass_1
M000148,s1_elephant_pass_1_m
000149,s1_alarmclock_see_1
M000149,s1_alarmclock_see_1_m
000150,s1_lightbulb_pass_1
M000150,s1_lightbulb_pass_1_m
000151,s1_cylinderlarge_pass_1
M000151,s1_cylinderlarge_pass_1_m
000152,s1_alarmclock_pass_1
M000152,s1_alarmclock_pass_1_m
000153,s1_camera_takepicture_1
M000153,s1_camera_takepicture_1_m
000154,s1_cubemedium_pass_1
M000154,s1_cubemedium_pass_1_m
000155,s1_mug_drink_3
M000155,s1_mug_drink_3_m
000156,s1_flashlight_on_1
M000156,s1_flashlight_on_1_m
000157,s1_spheresmall_pick_all
M000157,s1_spheresmall_pick_all_m
000158,s1_toruslarge_inspect_1
M000158,s1_toruslarge_inspect_1_m
000159,s1_cubesmall_pick_all
M000159,s1_cubesmall_pick_all_m
000160,s1_stamp_offhand_1
M000160,s1_stamp_offhand_1_m
000161,s1_gamecontroller_pick_all
M000161,s1_gamecontroller_pick_all_m
000162,s1_phone_pass_1
M000162,s1_phone_pass_1_m
000163,s1_flute_pick_all
M000163,s1_flute_pick_all_m
000164,s1_flashlight_offhand_1
M000164,s1_flashlight_offhand_1_m
000165,s1_hammer_use_3
M000165,s1_hammer_use_3_m
000166,s1_gamecontroller_play_1
M000166,s1_gamecontroller_play_1_m
000167,s1_mouse_pick_all
M000167,s1_mouse_pick_all_m
000168,s1_stanfordbunny_inspect_1
M000168,s1_stanfordbunny_inspect_1_m
000169,s1_camera_pass_1
M000169,s1_camera_pass_1_m
000170,s1_elephant_pick_all
M000170,s1_elephant_pick_all_m
000171,s1_spheresmall_pass_1
M000171,s1_spheresmall_pass_1_m
000172,s1_pyramidmedium_offhand_1
M000172,s1_pyramidmedium_offhand_1_m
000173,s1_stapler_offhand_1
M000173,s1_stapler_offhand_1_m
000174,s1_phone_pick_all
M000174,s1_phone_pick_all_m
000175,s1_cubelarge_inspect_1
M000175,s1_cubelarge_inspect_1_m
000176,s1_torussmall_offhand_1
M000176,s1_torussmall_offhand_1_m
000177,s1_stanfordbunny_offhand_1
M000177,s1_stanfordbunny_offhand_1_m
000178,s1_spheremedium_inspect_1
M000178,s1_spheremedium_inspect_1_m
000179,s1_banana_pass_1
M000179,s1_banana_pass_1_m
000180,s1_doorknob_use_2
M000180,s1_doorknob_use_2_m
000181,s1_spheremedium_pick_all
M000181,s1_spheremedium_pick_all_m
000182,s1_spherelarge_pass_1
M000182,s1_spherelarge_pass_1_m
000183,s1_fryingpan_cook_1
M000183,s1_fryingpan_cook_1_m
000184,s1_train_play_1
M000184,s1_train_play_1_m
000185,s1_banana_pick_all
M000185,s1_banana_pick_all_m
000186,s1_cubelarge_pass_1
M000186,s1_cubelarge_pass_1_m
000187,s1_toruslarge_pick_all
